<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
NVTK,60,20170601,160000,622.8000000
NVTK,60,20170601,170000,625.2000000
NVTK,60,20170601,180000,621.9000000
NVTK,60,20170601,190000,624.7000000
NVTK,60,20170602,110000,615.7000000
NVTK,60,20170602,120000,618.6000000
NVTK,60,20170602,130000,615.3000000
NVTK,60,20170602,140000,612.7000000
NVTK,60,20170602,150000,613.6000000
NVTK,60,20170602,160000,619.1000000
NVTK,60,20170602,170000,616.0000000
NVTK,60,20170602,180000,611.9000000
NVTK,60,20170602,190000,615.0000000
NVTK,60,20170605,110000,614.5000000
NVTK,60,20170605,120000,616.1000000
NVTK,60,20170605,130000,612.9000000
NVTK,60,20170605,140000,605.2000000
NVTK,60,20170605,150000,607.4000000
NVTK,60,20170605,160000,605.6000000
NVTK,60,20170605,170000,612.0000000
NVTK,60,20170605,180000,611.0000000
NVTK,60,20170605,190000,609.0000000
NVTK,60,20170606,110000,615.6000000
NVTK,60,20170606,120000,613.2000000
NVTK,60,20170606,130000,614.9000000
NVTK,60,20170606,140000,618.2000000
NVTK,60,20170606,150000,619.7000000
NVTK,60,20170606,160000,619.0000000
NVTK,60,20170606,170000,619.0000000
NVTK,60,20170606,180000,616.5000000
NVTK,60,20170606,190000,618.0000000
NVTK,60,20170607,110000,625.4000000
NVTK,60,20170607,120000,624.5000000
NVTK,60,20170607,130000,626.9000000
NVTK,60,20170607,140000,626.0000000
NVTK,60,20170607,150000,625.5000000
NVTK,60,20170607,160000,624.1000000
NVTK,60,20170607,170000,619.6000000
NVTK,60,20170607,180000,616.1000000
NVTK,60,20170607,190000,615.0000000
NVTK,60,20170608,110000,616.2000000
NVTK,60,20170608,120000,618.1000000
NVTK,60,20170608,130000,618.1000000
NVTK,60,20170608,140000,616.9000000
NVTK,60,20170608,150000,616.7000000
NVTK,60,20170608,160000,616.0000000
NVTK,60,20170608,170000,623.7000000
NVTK,60,20170608,180000,620.9000000
NVTK,60,20170608,190000,624.6000000
NVTK,60,20170609,110000,621.3000000
NVTK,60,20170609,120000,630.7000000
NVTK,60,20170609,130000,638.3000000
NVTK,60,20170609,140000,633.6000000
NVTK,60,20170609,150000,634.4000000
NVTK,60,20170609,160000,635.4000000
NVTK,60,20170609,170000,630.8000000
NVTK,60,20170609,180000,626.6000000
NVTK,60,20170609,190000,634.3000000
NVTK,60,20170613,110000,615.2000000
NVTK,60,20170613,120000,612.2000000
NVTK,60,20170613,130000,613.0000000
NVTK,60,20170613,140000,612.8000000
NVTK,60,20170613,150000,615.6000000
NVTK,60,20170613,160000,615.1000000
NVTK,60,20170613,170000,618.7000000
NVTK,60,20170613,180000,616.5000000
NVTK,60,20170613,190000,616.1000000
NVTK,60,20170614,110000,614.3000000
NVTK,60,20170614,120000,617.2000000
NVTK,60,20170614,130000,615.1000000
NVTK,60,20170614,140000,618.2000000
NVTK,60,20170614,150000,618.7000000
NVTK,60,20170614,160000,617.3000000
NVTK,60,20170614,170000,618.1000000
NVTK,60,20170614,180000,615.9000000
NVTK,60,20170614,190000,622.2000000
NVTK,60,20170615,110000,615.5000000
NVTK,60,20170615,120000,612.8000000
NVTK,60,20170615,130000,603.2000000
NVTK,60,20170615,140000,607.5000000
NVTK,60,20170615,150000,606.0000000
NVTK,60,20170615,160000,614.6000000
NVTK,60,20170615,170000,610.2000000
NVTK,60,20170615,180000,620.2000000
NVTK,60,20170615,190000,617.7000000
NVTK,60,20170616,110000,613.7000000
NVTK,60,20170616,120000,612.3000000
NVTK,60,20170616,130000,614.7000000
NVTK,60,20170616,140000,613.6000000
NVTK,60,20170616,150000,610.8000000
NVTK,60,20170616,160000,611.2000000
NVTK,60,20170616,170000,607.4000000
NVTK,60,20170616,180000,611.8000000
NVTK,60,20170616,190000,616.9000000
NVTK,60,20170619,110000,617.5000000
NVTK,60,20170619,120000,620.1000000
NVTK,60,20170619,130000,621.1000000
NVTK,60,20170619,140000,628.2000000
NVTK,60,20170619,150000,629.0000000
NVTK,60,20170619,160000,626.9000000
NVTK,60,20170619,170000,625.9000000
NVTK,60,20170619,180000,628.3000000
NVTK,60,20170619,190000,626.7000000
NVTK,60,20170620,110000,630.4000000
NVTK,60,20170620,120000,628.7000000
NVTK,60,20170620,130000,623.7000000
NVTK,60,20170620,140000,622.0000000
NVTK,60,20170620,150000,620.7000000
NVTK,60,20170620,160000,619.4000000
NVTK,60,20170620,170000,617.8000000
NVTK,60,20170620,180000,624.9000000
NVTK,60,20170620,190000,619.8000000
NVTK,60,20170621,110000,616.6000000
NVTK,60,20170621,120000,612.3000000
NVTK,60,20170621,130000,615.0000000
NVTK,60,20170621,140000,615.7000000
NVTK,60,20170621,150000,615.7000000
NVTK,60,20170621,160000,617.4000000
NVTK,60,20170621,170000,617.3000000
NVTK,60,20170621,180000,616.5000000
NVTK,60,20170621,190000,611.0000000
NVTK,60,20170622,110000,611.7000000
NVTK,60,20170622,120000,612.2000000
NVTK,60,20170622,130000,616.6000000
NVTK,60,20170622,140000,621.6000000
NVTK,60,20170622,150000,625.6000000
NVTK,60,20170622,160000,624.0000000
NVTK,60,20170622,170000,622.6000000
NVTK,60,20170622,180000,625.0000000
NVTK,60,20170622,190000,624.1000000
NVTK,60,20170623,110000,618.0000000
NVTK,60,20170623,120000,623.0000000
NVTK,60,20170623,130000,628.4000000
NVTK,60,20170623,140000,626.3000000
NVTK,60,20170623,150000,630.3000000
NVTK,60,20170623,160000,632.7000000
NVTK,60,20170623,170000,628.8000000
NVTK,60,20170623,180000,633.3000000
NVTK,60,20170623,190000,625.9000000
