<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-FUT,60,20200310,220000,2793.5000000
SANDP-FUT,60,20200311,000000,2802.2000000
SANDP-FUT,60,20200311,010000,2783.1000000
SANDP-FUT,60,20200311,020000,2801.0000000
SANDP-FUT,60,20200311,030000,2809.5000000
SANDP-FUT,60,20200311,040000,2830.7000000
SANDP-FUT,60,20200311,060000,2810.0000000
SANDP-FUT,60,20200311,070000,2788.0000000
SANDP-FUT,60,20200311,080000,2776.7000000
SANDP-FUT,60,20200311,090000,2779.6000000
SANDP-FUT,60,20200311,100000,2784.0000000
SANDP-FUT,60,20200311,110000,2764.0000000
SANDP-FUT,60,20200311,120000,2758.0000000
SANDP-FUT,60,20200311,130000,2759.0000000
SANDP-FUT,60,20200311,140000,2729.0000000
SANDP-FUT,60,20200311,150000,2735.0000000
SANDP-FUT,60,20200311,160000,2743.6000000
SANDP-FUT,60,20200312,100000,2560.0000000
SANDP-FUT,60,20200312,140000,2520.0000000
SANDP-FUT,60,20200312,150000,2482.0000000
SANDP-FUT,60,20200312,160000,2456.0000000
SANDP-FUT,60,20200312,180000,2414.9000000
SANDP-FUT,60,20200312,190000,2421.2000000
SANDP-FUT,60,20200312,200000,2444.9000000
SANDP-FUT,60,20200312,210000,2405.3000000
SANDP-FUT,60,20200312,220000,2402.3000000
SANDP-FUT,60,20200312,230000,2384.9000000
SANDP-FUT,60,20200313,000000,2465.2000000
SANDP-FUT,60,20200313,010000,2510.2000000
SANDP-FUT,60,20200313,020000,2502.3000000
SANDP-FUT,60,20200313,030000,2567.2000000
SANDP-FUT,60,20200313,040000,2523.4000000
SANDP-FUT,60,20200313,050000,2541.0000000
SANDP-FUT,60,20200313,060000,2564.5000000
SANDP-FUT,60,20200313,070000,2581.9000000
SANDP-FUT,60,20200313,160000,2655.2000000
SANDP-FUT,60,20200315,180000,2566.7000000
