<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20171201,170000,132.6300000
GAZP,60,20171201,180000,132.9700000
GAZP,60,20171201,190000,133.0200000
GAZP,60,20171204,110000,132.3300000
GAZP,60,20171204,120000,132.4500000
GAZP,60,20171204,130000,132.7800000
GAZP,60,20171204,140000,132.9400000
GAZP,60,20171204,150000,133.0900000
GAZP,60,20171204,160000,133.6700000
GAZP,60,20171204,170000,133.9400000
GAZP,60,20171204,180000,133.8500000
GAZP,60,20171204,190000,133.7700000
GAZP,60,20171205,110000,133.6300000
GAZP,60,20171205,120000,133.1400000
GAZP,60,20171205,130000,133.3500000
GAZP,60,20171205,140000,133.1000000
GAZP,60,20171205,150000,133.2500000
GAZP,60,20171205,160000,133.1200000
GAZP,60,20171205,170000,133.7500000
GAZP,60,20171205,180000,133.7000000
GAZP,60,20171205,190000,133.6500000
GAZP,60,20171206,110000,133.1800000
GAZP,60,20171206,120000,133.7900000
GAZP,60,20171206,130000,133.6700000
GAZP,60,20171206,140000,133.9900000
GAZP,60,20171206,150000,133.9900000
GAZP,60,20171206,160000,133.8900000
GAZP,60,20171206,170000,133.8800000
GAZP,60,20171206,180000,133.9700000
GAZP,60,20171206,190000,134.0000000
GAZP,60,20171207,110000,133.4500000
GAZP,60,20171207,120000,133.4400000
GAZP,60,20171207,130000,133.3400000
GAZP,60,20171207,140000,133.3700000
GAZP,60,20171207,150000,133.3500000
GAZP,60,20171207,160000,133.0800000
GAZP,60,20171207,170000,133.0600000
GAZP,60,20171207,180000,133.1500000
GAZP,60,20171207,190000,133.0200000
GAZP,60,20171208,110000,133.5400000
GAZP,60,20171208,120000,133.0600000
GAZP,60,20171208,130000,133.1000000
GAZP,60,20171208,140000,133.0000000
GAZP,60,20171208,150000,132.8500000
GAZP,60,20171208,160000,132.6000000
GAZP,60,20171208,170000,132.8100000
GAZP,60,20171208,180000,132.2300000
GAZP,60,20171208,190000,132.6000000
GAZP,60,20171211,110000,133.3600000
GAZP,60,20171211,120000,133.4100000
GAZP,60,20171211,130000,133.7000000
GAZP,60,20171211,140000,133.7200000
GAZP,60,20171211,150000,133.8300000
GAZP,60,20171211,160000,134.0000000
GAZP,60,20171211,170000,134.0200000
GAZP,60,20171211,180000,133.9300000
GAZP,60,20171211,190000,134.6500000
GAZP,60,20171212,110000,134.1100000
GAZP,60,20171212,120000,134.6600000
GAZP,60,20171212,130000,134.6900000
GAZP,60,20171212,140000,135.0800000
GAZP,60,20171212,150000,135.2400000
GAZP,60,20171212,160000,135.1300000
GAZP,60,20171212,170000,135.0300000
GAZP,60,20171212,180000,135.2400000
GAZP,60,20171212,190000,135.5000000
GAZP,60,20171213,110000,136.1400000
GAZP,60,20171213,120000,135.9400000
GAZP,60,20171213,130000,135.9600000
GAZP,60,20171213,140000,135.7900000
GAZP,60,20171213,150000,135.8800000
GAZP,60,20171213,160000,135.2000000
GAZP,60,20171213,170000,135.1200000
GAZP,60,20171213,180000,134.9100000
GAZP,60,20171213,190000,135.5600000
GAZP,60,20171214,110000,135.9300000
GAZP,60,20171214,120000,135.3000000
GAZP,60,20171214,130000,135.4000000
GAZP,60,20171214,140000,135.1900000
GAZP,60,20171214,150000,135.1200000
GAZP,60,20171214,160000,135.5300000
GAZP,60,20171214,170000,135.0500000
GAZP,60,20171214,180000,135.3800000
GAZP,60,20171214,190000,135.9100000
GAZP,60,20171215,110000,135.8100000
GAZP,60,20171215,120000,135.6300000
GAZP,60,20171215,130000,135.5800000
GAZP,60,20171215,140000,135.7000000
GAZP,60,20171215,150000,135.5800000
GAZP,60,20171215,160000,135.8300000
GAZP,60,20171215,170000,135.7800000
GAZP,60,20171215,180000,135.4700000
GAZP,60,20171215,190000,135.5000000
GAZP,60,20171218,110000,135.8000000
GAZP,60,20171218,120000,135.9100000
GAZP,60,20171218,130000,135.6300000
GAZP,60,20171218,140000,135.4200000
GAZP,60,20171218,150000,135.4900000
GAZP,60,20171218,160000,134.7100000
GAZP,60,20171218,170000,133.6600000
GAZP,60,20171218,180000,134.1800000
GAZP,60,20171218,190000,134.2500000
GAZP,60,20171219,110000,133.9700000
GAZP,60,20171219,120000,134.0200000
GAZP,60,20171219,130000,134.3100000
GAZP,60,20171219,140000,134.1900000
GAZP,60,20171219,150000,134.0400000
GAZP,60,20171219,160000,134.1800000
GAZP,60,20171219,170000,134.3200000
GAZP,60,20171219,180000,134.1500000
GAZP,60,20171219,190000,133.9600000
GAZP,60,20171220,110000,133.5900000
GAZP,60,20171220,120000,133.6500000
GAZP,60,20171220,130000,132.8300000
GAZP,60,20171220,140000,133.0000000
GAZP,60,20171220,150000,133.2900000
GAZP,60,20171220,160000,133.0100000
GAZP,60,20171220,170000,132.9500000
GAZP,60,20171220,180000,133.1500000
GAZP,60,20171220,190000,132.5000000
GAZP,60,20171221,110000,133.2000000
GAZP,60,20171221,120000,132.6900000
GAZP,60,20171221,130000,132.5900000
GAZP,60,20171221,140000,131.9000000
GAZP,60,20171221,150000,131.7800000
GAZP,60,20171221,160000,131.7200000
GAZP,60,20171221,170000,130.5000000
GAZP,60,20171221,180000,130.8900000
GAZP,60,20171221,190000,131.7000000
GAZP,60,20171222,110000,131.8000000
GAZP,60,20171222,120000,132.1200000
GAZP,60,20171222,130000,132.9100000
GAZP,60,20171222,140000,132.4500000
GAZP,60,20171222,150000,132.4900000
GAZP,60,20171222,160000,131.6900000
GAZP,60,20171222,170000,131.8200000
GAZP,60,20171222,180000,132.3000000
GAZP,60,20171222,190000,132.4200000
GAZP,60,20171225,110000,132.7100000
GAZP,60,20171225,120000,132.6400000
GAZP,60,20171225,130000,132.4600000
GAZP,60,20171225,140000,132.1800000
GAZP,60,20171225,150000,132.0400000
GAZP,60,20171225,160000,131.8800000
GAZP,60,20171225,170000,132.0100000
GAZP,60,20171225,180000,132.0000000
GAZP,60,20171225,190000,131.9600000
GAZP,60,20171226,110000,131.2300000
GAZP,60,20171226,120000,131.2600000
GAZP,60,20171226,130000,130.7600000
GAZP,60,20171226,140000,130.4300000
GAZP,60,20171226,150000,130.1000000
GAZP,60,20171226,160000,130.3500000
GAZP,60,20171226,170000,130.8800000
